X,Y,OBJECTID,site_type,site_name,address,borough,zip_code,latitude,longitude
-73.984116,40.718122,1,DOE HUB Grab & Go,P.S. 142 Amalia Castro,100 ATTORNEY STREET,MANHATTAN,10002,40.718121,-73.984116
-73.985438,40.711126,2,DOE HUB Grab & Go,P.S. 184m Shuang Wen,327 CHERRY STREET,MANHATTAN,10002,40.711124,-73.985435
-73.989329,40.717329,3,DOE HUB Grab & Go,New Design High School,350 GRAND STREET,MANHATTAN,10002,40.717327,-73.989326
-73.979585,40.719414,4,DOE HUB Grab & Go,"New Explorations into Science, Technology and Math High School",111 COLUMBIA STREET,MANHATTAN,10002,40.719414,-73.979584
-73.991523,40.712905,5,DOE HUB Grab & Go,P.S. 002 Meyer London,122 HENRY STREET,MANHATTAN,10002,40.712906,-73.991524
-73.990827,40.716127,6,DOE HUB Grab & Go,P.S. 042 Benjamin Altman,71 HESTER STREET,MANHATTAN,10002,40.716125,-73.990829
-73.984531,40.721416,7,DOE HUB Grab & Go,Lang house,273 East Houston Street,MANHATTAN,10002,40.721416,-73.984528
-73.977706,40.728142,8,DOE HUB Grab & Go,Tanya Towers,620 East 13th Street,MANHATTAN,10002,40.728142,-73.977707
-73.993615,40.716182,9,DOE HUB Grab & Go,M.S. 131,100 HESTER STREET,MANHATTAN,10002,40.716183,-73.993614
-73.984478,40.729996,10,DOE HUB Grab & Go,P.S. 019 Asher Levy,185 1 AVENUE,MANHATTAN,10003,40.729996,-73.984482
-73.99235,40.736123,11,DOE HUB Grab & Go,M.S. 260 Clinton School Writers & Artists,10 East 15th Street,MANHATTAN,10003,40.736122,-73.992348
-73.975059,40.726009,12,DOE HUB Grab & Go,P.S. 034 Franklin D. Roosevelt,730 EAST  12 STREET,MANHATTAN,10009,40.726009,-73.97506
-73.986215,40.724438,13,DOE HUB Grab & Go,The STAR Academy - P.S.63,121 EAST  3 STREET,MANHATTAN,10009,40.724438,-73.986214
-73.981619,40.723693,14,DOE HUB Grab & Go,P.S. 064 Robert Simon,600 EAST  6 STREET,MANHATTAN,10009,40.723694,-73.981621
-73.981358,40.738482,15,DOE HUB Grab & Go,47 The American Sign Language and English Secondary School,223 EAST 23 STREET,MANHATTAN,10010,40.738483,-73.981361
-73.981034,40.735877,16,DOE HUB Grab & Go,J.H.S. 104 Simon Baruch,330 EAST  21 STREET,MANHATTAN,10010,40.735878,-73.981033
-73.985324,40.739122,17,DOE HUB Grab & Go,School of the Future High School,127 EAST  22 STREET,MANHATTAN,10010,40.73912,-73.985321
-74.000747,40.744187,18,DOE HUB Grab & Go,P.S. 011 William T. Harris,320 WEST  21 STREET,MANHATTAN,10011,40.744186,-74.000748
-73.999166,40.735451,19,DOE HUB Grab & Go,P.S. 041 Greenwich Village,116 WEST  11 STREET,MANHATTAN,10011,40.735451,-73.999168
-73.998326,40.718658,20,DOE HUB Grab & Go,P.S. 130 Hernando De Soto,143 BAXTER STREET,MANHATTAN,10013,40.718658,-73.998329
-73.981075,40.746511,21,DOE HUB Grab & Go,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,111 EAST  33RD STREET,MANHATTAN,10016,40.74651,-73.981071
-73.986766,40.744217,22,DOE HUB Grab & Go,Children's Rescue Fund (CRF),4 East 28th St,MANHATTAN,10016,40.744217,-73.986763
-73.989813,40.765909,23,DOE HUB Grab & Go,P.S. 111 Adolph S. Ochs,440 WEST  53 STREET,MANHATTAN,10019,40.765907,-73.989815
-73.990354,40.763677,24,DOE HUB Grab & Go,Stephen T. Mather Building Arts Craf,439 WEST 49TH STREET,MANHATTAN,10019,40.763676,-73.990356
-73.988639,40.767871,25,DOE HUB Grab & Go,High School for Environmental Studies,444 WEST 56 STREET,MANHATTAN,10019,40.767872,-73.98864
-73.954803,40.770929,26,DOE HUB Grab & Go,District 2 Pre-K Center at 355 East 76 Street,355 EAST 76 STREET,MANHATTAN,10021,40.770927,-73.954803
-73.985609,40.774892,27,DOE HUB Grab & Go,"High School for Law, Advocacy and Community Justice",122 AMSTERDAM AVENUE,MANHATTAN,10023,40.774891,-73.985611
-73.974177,40.785257,28,DOE HUB Grab & Go,P.S. 009 Sarah Anderson,100 WEST  84 STREET,MANHATTAN,10024,40.785255,-73.974174
-73.963267,40.800715,29,DOE HUB Grab & Go,J.H.S. 054 Booker T. Washington,103 WEST 107 STREET,MANHATTAN,10025,40.800716,-73.963264
-73.965637,40.799113,30,DOE HUB Grab & Go,"P.S. 145, The Bloomingdale School",150 WEST 105 STREET,MANHATTAN,10025,40.799114,-73.965637
-73.968507,40.795175,31,DOE HUB Grab & Go,P.S. 163 Alfred E. Smith,163 WEST  97 STREET,MANHATTAN,10025,40.795174,-73.968506
-73.968686,40.797763,32,DOE HUB Grab & Go,Frant Hotel,211 West 101 St,MANHATTAN,10025,40.797764,-73.968689
-73.967739,40.799788,33,DOE HUB Grab & Go,VOA Regent Family Residence,2720 Broadway,MANHATTAN,10025,40.799789,-73.967735
-73.954156,40.802611,34,DOE HUB Grab & Go,Wadleigh Secondary School for the Performing & Vis,215 WEST 114 STREET,MANHATTAN,10026,40.802612,-73.954155
-73.950128,40.798448,35,DOE HUB Grab & Go,Locke School of Arts and Engineering (The),20 WEST 112 STREET,MANHATTAN,10026,40.798447,-73.950127
-73.948088,40.802647,36,DOE HUB Grab & Go,P.S. 149 Sojourner Truth,41 WEST 117 STREET,MANHATTAN,10026,40.802647,-73.94809
-73.951452,40.806535,37,DOE HUB Grab & Go,P.S. 076 A. Philip Randolph,220 WEST 121 STREET,MANHATTAN,10027,40.806534,-73.951454
-73.950967,40.806982,38,DOE HUB Grab & Go,Parrish House I & II,215 West 121st Street,MANHATTAN,10027,40.80698,-73.950966
-73.949628,40.80652,39,DOE HUB Grab & Go,Apollo Hotel,2027 Adam Clayton Powell Blvd,MANHATTAN,10027,40.806519,-73.949631
-73.957409,40.810698,40,DOE HUB Grab & Go,P.S. 036 Margaret Douglas,123 MORNINGSIDE DRIVE,MANHATTAN,10027,40.810699,-73.957413
-73.948927,40.810513,41,DOE HUB Grab & Go,P.S. 154 Harriet Tubman,250 WEST 127 STREET,MANHATTAN,10027,40.810513,-73.948929
-73.95248,40.81772,42,DOE HUB Grab & Go,P.S. 161 Pedro Albizu Campos,499 WEST 133 STREET,MANHATTAN,10027,40.817719,-73.952477
-73.953658,40.812588,43,DOE HUB Grab & Go,Teachers College Community School,168 MORNINGSIDE AVENUE,MANHATTAN,10027,40.812588,-73.953659
-73.956944,40.815257,44,DOE HUB Grab & Go,New Broadway Hotel,540 W 126,MANHATTAN,10027,40.815258,-73.956947
-73.945825,40.809365,45,DOE HUB Grab & Go,Rose House,126 West 127th St,MANHATTAN,10027,40.809364,-73.945824
-73.945287,40.813827,46,DOE HUB Grab & Go,Adam's House I & II,2250 ACP Jr Blvd.,MANHATTAN,10027,40.813828,-73.94529
-73.941555,40.797182,47,DOE HUB Grab & Go,James Weldon Johnson,176 EAST 115 STREET,MANHATTAN,10029,40.79718,-73.941551
-73.94745,40.791445,48,DOE HUB Grab & Go,The Lexington Academy,131 EAST 104 STREET,MANHATTAN,10029,40.791447,-73.947449
-73.941959,40.793334,49,DOE HUB Grab & Go,P.S. 083 Luis Munoz Rivera,219 EAST 109 STREET,MANHATTAN,10029,40.793335,-73.941956
-73.947856,40.795033,50,DOE HUB Grab & Go,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,1615 MADISON AVENUE,MANHATTAN,10029,40.795033,-73.947853
-73.944777,40.788688,51,DOE HUB Grab & Go,P.S. 38 Roberto Clemente,232 EAST 103 STREET,MANHATTAN,10029,40.788689,-73.944778
-73.938702,40.78952,52,DOE HUB Grab & Go,P.S. 146 Ann M. Short,421 EAST 106 STREET,MANHATTAN,10029,40.78952,-73.938705
-73.942282,40.792552,53,DOE HUB Grab & Go,Tag Young Scholars,240 EAST 109 STREET,MANHATTAN,10029,40.792553,-73.942284
-73.948489,40.793647,54,DOE HUB Grab & Go,Central Park East High School,1573 MADISON AVENUE,MANHATTAN,10029,40.793648,-73.948486
-73.932706,40.801555,55,DOE HUB Grab & Go,E River Family Residence/WIN,325 E 124 Street,MANHATTAN,10029,40.801556,-73.932709
-73.948428,40.78841,56,DOE HUB Grab & Go,Jennie A Clarke/WIN,179 East 100 street,MANHATTAN,10029,40.78841,-73.948425
-73.944527,40.820184,57,DOE HUB Grab & Go,P.S. 123 Mahalia Jackson,301 WEST 140 STREET,MANHATTAN,10030,40.820183,-73.944527
-73.941115,40.821206,58,DOE HUB Grab & Go,P.S. 194 Countee Cullen,244 WEST 144 STREET,MANHATTAN,10030,40.821205,-73.941116
-73.947156,40.817229,59,DOE HUB Grab & Go,Mott Hall High School,6 EDGECOMBE AVENUE,MANHATTAN,10030,40.81723,-73.947159
-73.944303,40.815241,60,DOE HUB Grab & Go,Thurgood Marshall Academy for Learning and Social,200-214 WEST 135TH STREET,MANHATTAN,10030,40.815243,-73.944305
-73.941491,40.81713,61,DOE HUB Grab & Go,Samuel Proctor Residence,139 West 138th St,MANHATTAN,10030,40.817131,-73.94149
-73.9476,40.826515,62,DOE HUB Grab & Go,P.S. 153 Adam Clayton Powell,1750 AMSTERDAM AVENUE,MANHATTAN,10031,40.826515,-73.947601
-73.95306,40.820915,63,DOE HUB Grab & Go,P.S. 192 Jacob H. Schiff,500 WEST 138 STREET,MANHATTAN,10031,40.820915,-73.953056
-73.949958,40.81852,64,DOE HUB Grab & Go,A. Philip Randolph Campus High School,443 WEST 135 STREET,MANHATTAN,10031,40.81852,-73.949959
